Niger,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,-0.019677419354838632,0.44,,,,
1,1801,0.5303225806451614,0.4,,,,
2,1802,0.46032258064516135,0.35,,,,
3,1803,,,,,,
4,1804,0.48032258064516137,0.27,,,,
5,1805,0.47032258064516136,0.23,,,,
6,1806,0.040322580645161366,0.18,,,,
7,1807,0.030322580645161357,0.14,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,-0.4596774193548387,-0.11,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,-0.019677419354838632,-0.36,,,,
19,1819,-0.7296774193548385,-0.35,,,,
20,1820,-0.3696774193548386,-0.32,,,,
21,1821,-0.4596774193548387,-0.29,,,,
22,1822,-0.13967741935483863,-0.27,,,,
23,1823,-0.4596774193548387,-0.24,,,,
24,1824,-0.009677419354838623,-0.22,,,,
25,1825,-0.2296774193548386,-0.21,,,,
26,1826,-0.05967741935483867,-0.19,,,,
27,1827,0.25032258064516133,-0.17,,,,
28,1828,-0.1096774193548386,-0.18,,,,
29,1829,-0.19967741935483868,-0.21,,,,
30,1830,0.26032258064516134,-0.27,,,,
31,1831,-0.3796774193548386,-0.31,,,,
32,1832,-0.5396774193548386,-0.35,,,,
33,1833,-0.2596774193548386,-0.39,,,,
34,1834,,,,,,
35,1835,-0.7996774193548386,-0.42,,,,
36,1836,-0.6296774193548387,-0.43,,,,
37,1837,-0.8796774193548387,-0.42,,,,
38,1838,-0.43967741935483867,-0.43,,,,
39,1839,,,,,,
40,1840,-0.2096774193548387,-0.41,,,,
41,1841,-0.4896774193548386,-0.4,,,,
42,1842,,,,,,
43,1843,-0.0996774193548387,-0.35,,,,
44,1844,-0.42967741935483866,-0.32,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,-0.2196774193548387,-0.23,,,,
48,1848,,,,,,
49,1849,-0.19967741935483868,-0.21,,,,
50,1850,-0.2596774193548386,-0.19,,,,
51,1851,-0.0896774193548387,-0.18,,,,
52,1852,-0.1096774193548386,-0.17,,,,
53,1853,0.07032258064516134,-0.15,,,,
54,1854,-0.29967741935483866,-0.14,,,,
55,1855,-0.14967741935483864,-0.14,,,,
56,1856,-0.26967741935483863,-0.13,,,,
57,1857,-0.39967741935483864,-0.13,,,,
58,1858,0.12032258064516133,-0.13,,,,
59,1859,0.11032258064516137,-0.12,,,,
60,1860,0.010322580645161339,-0.1,,,,
61,1861,-0.19967741935483868,-0.07,,,,
62,1862,-0.3496774193548387,-0.04,,,,
63,1863,-0.2596774193548386,-0.02,,,,
64,1864,0.10032258064516136,-0.01,,,,
65,1865,0.050322580645161374,-0.0,,,,
66,1866,0.27032258064516135,0.01,,,,
67,1867,0.5703225806451614,0.02,,,,
68,1868,-0.29967741935483866,0.03,,,,
69,1869,0.13032258064516133,0.04,,,,
70,1870,0.06032258064516133,0.04,,,,
71,1871,0.020322580645161348,0.04,,,,
72,1872,-0.13967741935483863,0.04,,,,
73,1873,0.050322580645161374,0.04,,,,
74,1874,0.040322580645161366,0.05,,,,
75,1875,-0.1096774193548386,0.05,,,,
76,1876,0.06032258064516133,0.06,,,,
77,1877,0.38032258064516133,0.05,,,,
78,1878,0.9203225806451614,0.05,,,,
79,1879,0.06032258064516133,0.04,,,,
80,1880,-0.0896774193548387,0.03,,,,
81,1881,0.5803225806451613,0.02,,,,
82,1882,-0.1096774193548386,0.02,,,,
83,1883,0.020322580645161348,0.01,,,,
84,1884,-0.4496774193548387,-0.0,,,,
85,1885,-0.14967741935483864,-0.01,,,,
86,1886,0.010322580645161339,-0.01,,,,
87,1887,-0.019677419354838632,0.0,,,,
88,1888,0.22032258064516136,0.02,,,,
89,1889,0.17032258064516137,0.05,,,,
90,1890,-0.6096774193548387,0.07,,,,
91,1891,-0.02967741935483864,0.09,,,,
92,1892,0.21032258064516135,0.1,,,,
93,1893,0.22032258064516136,0.11,,,,
94,1894,0.16032258064516136,0.12,,,,
95,1895,0.5403225806451614,0.13,,,,
96,1896,-0.3796774193548386,0.14,,,,
97,1897,0.040322580645161366,0.13,,,,
98,1898,0.11032258064516137,0.1,,,,
99,1899,0.8503225806451613,0.05,,,,
100,1900,0.22032258064516136,-0.0,,,,
101,1901,0.20032258064516134,-0.05,,,,
102,1902,0.29032258064516137,-0.1,,,,
103,1903,-0.5996774193548386,-0.14,,,,
104,1904,-0.4696774193548387,-0.18,,,,
105,1905,-0.5096774193548386,-0.22,,,,
106,1906,-0.24967741935483861,-0.26,,,,
107,1907,-0.6896774193548385,-0.28,,,,
108,1908,-0.2596774193548386,-0.28,,,,
109,1909,-0.0896774193548387,-0.26,,,,
110,1910,-0.30967741935483867,-0.22,,,,
111,1911,-0.3596774193548386,-0.19,,,,
112,1912,-0.28967741935483865,-0.16,,,,
113,1913,0.26032258064516134,-0.14,,,,
114,1914,0.8003225806451614,-0.12,,,,
115,1915,0.41032258064516136,-0.09,,,,
116,1916,-0.2296774193548386,-0.06,,,,
117,1917,0.040322580645161366,-0.03,,,,
118,1918,-0.4896774193548386,0.01,,,,
119,1919,0.040322580645161366,0.04,,,,
120,1920,-0.38967741935483863,0.08,,,,
121,1921,0.09032258064516135,0.12,,,,
122,1922,0.3703225806451613,0.16,,,,
123,1923,0.00032258064516133,0.21,,,,
124,1924,0.5603225806451614,0.27,,,,
125,1925,0.3703225806451613,0.32,,,,
126,1926,0.6603225806451614,0.37,,,,
127,1927,0.34032258064516135,0.41,,,,
128,1928,0.45032258064516134,0.43,,,,
129,1929,-0.12967741935483862,0.43,,,,
130,1930,0.6903225806451614,0.42,,,,
131,1931,1.5203225806451615,0.42,,,,
132,1932,0.6703225806451614,0.41,,,,
133,1933,0.5603225806451614,0.42,,,,
134,1934,0.20032258064516134,0.44,,,,
135,1935,0.18032258064516132,0.46,,,,
136,1936,0.020322580645161348,0.48,,,,
137,1937,0.48032258064516137,0.48,,,,
138,1938,0.5103225806451613,0.47,,,,
139,1939,0.7803225806451614,0.46,,,,
140,1940,0.8803225806451613,0.46,,,,
141,1941,1.4403225806451614,0.46,,,,
142,1942,0.9303225806451614,0.47,,,,
143,1943,0.19032258064516133,0.46,,,,
144,1944,0.14032258064516134,0.44,,,,
145,1945,0.07032258064516134,0.42,,,,
146,1946,0.4903225806451613,0.38,,,,
147,1947,0.8003225806451614,0.36,,,,
148,1948,0.06032258064516133,0.34,,,,
149,1949,0.4903225806451613,0.34,,,,
150,1950,-0.18967741935483867,0.34,,,,
151,1951,0.6803225806451614,0.35,,,,
152,1952,0.3003225806451614,0.36,,,,
153,1953,0.28032258064516136,0.37,,,,
154,1954,0.32032258064516134,0.37,,,,
155,1955,0.40032258064516135,0.39,,,,
156,1956,0.3003225806451614,0.41,,,,
157,1957,0.3703225806451613,0.43,,,,
158,1958,0.7003225806451614,0.44,,,,
159,1959,0.3603225806451613,0.44,,,,
160,1960,0.5703225806451614,0.44,,,,
161,1961,-0.5896774193548386,0.43,,,,
162,1962,0.47032258064516136,0.43,,,,
163,1963,0.8903225806451613,0.42,,,,
164,1964,0.24032258064516135,0.42,,,,
165,1965,0.10032258064516136,0.41,,,,
166,1966,0.47032258064516136,0.41,,,,
167,1967,0.26032258064516134,0.42,,,,
168,1968,0.42032258064516137,0.42,,,,
169,1969,1.4203225806451614,0.42,,,,
170,1970,0.3603225806451613,0.43,,,,
171,1971,0.4303225806451614,0.44,,,,
172,1972,0.7703225806451613,0.45,,,,
173,1973,0.8903225806451613,0.48,,,,
174,1974,0.11032258064516137,0.51,,,,
175,1975,0.18032258064516132,0.54,,,,
176,1976,0.5903225806451613,0.56,,,,
177,1977,0.10032258064516136,0.58,,,,
