Antarctica,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,,,,,,
33,1833,,,,,,
34,1834,,,,,,
35,1835,,,,,,
36,1836,,,,,,
37,1837,,,,,,
38,1838,,,,,,
39,1839,,,,,,
40,1840,,,,,,
41,1841,,,,,,
42,1842,,,,,,
43,1843,,,,,,
44,1844,,,,,,
45,1845,,,,,,
46,1846,,,,,,
47,1847,,,,,,
48,1848,,,,,,
49,1849,,,,,,
50,1850,,,,,,
51,1851,,,,,,
52,1852,,,,,,
53,1853,,,,,,
54,1854,,,,,,
55,1855,,,,,,
56,1856,,,,,,
57,1857,,,,,,
58,1858,,,,,,
59,1859,,,,,,
60,1860,,,,,,
61,1861,,,,,,
62,1862,,,,,,
63,1863,,,,,,
64,1864,,,,,,
65,1865,,,,,,
66,1866,,,,,,
67,1867,,,,,,
68,1868,,,,,,
69,1869,,,,,,
70,1870,,,,,,
71,1871,,,,,,
72,1872,,,,,,
73,1873,,,,,,
74,1874,,,,,,
75,1875,-0.12833333333333335,0.0,,,,
76,1876,-0.07833333333333342,0.0,,,,
77,1877,0.3616666666666666,0.0,,,,
78,1878,,,,,,
79,1879,,,,,,
80,1880,,,,,,
81,1881,,,,,,
82,1882,,,,,,
83,1883,,,,,,
84,1884,,,,,,
85,1885,,,,,,
86,1886,,,,,,
87,1887,,,,,,
88,1888,-0.1683333333333334,-0.03,,,,
89,1889,0.08166666666666661,-0.04,,,,
90,1890,-0.06833333333333341,-0.03,,,,
91,1891,-0.09833333333333344,0.0,,,,
92,1892,-0.048333333333333395,0.03,,,,
93,1893,0.11166666666666658,0.06,,,,
94,1894,0.1816666666666666,0.09,,,,
95,1895,0.1916666666666666,0.12,,,,
96,1896,0.24166666666666659,0.14,,,,
97,1897,0.12166666666666659,0.16,,,,
98,1898,0.05166666666666658,0.16,,,,
99,1899,0.1816666666666666,0.16,,,,
100,1900,0.3316666666666666,0.15,,,,
101,1901,0.6216666666666666,0.15,,,,
102,1902,0.06166666666666659,0.14,,,,
103,1903,0.0016666666666665941,0.15,,,,
104,1904,-0.22833333333333344,0.15,,,,
105,1905,0.10166666666666657,0.16,,,,
106,1906,0.1316666666666666,0.16,,,,
107,1907,0.0016666666666665941,0.17,,,,
108,1908,0.6116666666666666,0.17,,,,
109,1909,-0.038333333333333386,0.18,,,,
110,1910,0.6016666666666666,0.19,,,,
111,1911,0.4916666666666666,0.21,,,,
112,1912,-0.34833333333333344,0.22,,,,
113,1913,0.2216666666666666,0.23,,,,
114,1914,0.5516666666666666,0.24,,,,
115,1915,-0.20833333333333343,0.25,,,,
116,1916,-0.15833333333333338,0.25,,,,
117,1917,0.4816666666666666,0.25,,,,
118,1918,0.34166666666666656,0.26,,,,
119,1919,0.7116666666666667,0.26,,,,
120,1920,0.15166666666666662,0.27,,,,
121,1921,0.3216666666666666,0.27,,,,
122,1922,0.24166666666666659,0.25,,,,
123,1923,0.3216666666666666,0.22,,,,
124,1924,0.11166666666666658,0.18,,,,
125,1925,0.1816666666666666,0.14,,,,
126,1926,0.5516666666666666,0.12,,,,
127,1927,0.0716666666666666,0.11,,,,
128,1928,-0.4583333333333334,0.1,,,,
129,1929,-0.34833333333333344,0.1,,,,
130,1930,-0.33833333333333343,0.11,,,,
131,1931,0.4216666666666666,0.12,,,,
132,1932,0.3116666666666666,0.14,,,,
133,1933,0.021666666666666612,0.18,,,,
134,1934,0.3816666666666666,0.22,,,,
135,1935,-0.07833333333333342,0.27,,,,
136,1936,0.5916666666666666,0.31,,,,
137,1937,0.7916666666666665,0.34,,,,
138,1938,0.2616666666666666,0.36,,,,
139,1939,0.17166666666666658,0.38,,,,
140,1940,0.5016666666666666,0.4,,,,
141,1941,0.4816666666666666,0.42,,,,
142,1942,0.16166666666666657,0.42,,,,
143,1943,1.0716666666666665,0.42,,,,
144,1944,0.3616666666666666,0.4,,,,
145,1945,-0.018333333333333424,0.39,,,,
146,1946,0.9116666666666666,0.38,,,,
147,1947,0.8816666666666666,0.36,,,,
148,1948,0.12166666666666659,0.33,,,,
149,1949,-0.6783333333333335,0.32,,,,
