Tajikistan,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
0,1800,,,,,,
1,1801,,,,,,
2,1802,,,,,,
3,1803,,,,,,
4,1804,,,,,,
5,1805,,,,,,
6,1806,,,,,,
7,1807,,,,,,
8,1808,,,,,,
9,1809,,,,,,
10,1810,,,,,,
11,1811,,,,,,
12,1812,,,,,,
13,1813,,,,,,
14,1814,,,,,,
15,1815,,,,,,
16,1816,,,,,,
17,1817,,,,,,
18,1818,,,,,,
19,1819,,,,,,
20,1820,,,,,,
21,1821,,,,,,
22,1822,,,,,,
23,1823,,,,,,
24,1824,,,,,,
25,1825,,,,,,
26,1826,,,,,,
27,1827,,,,,,
28,1828,,,,,,
29,1829,,,,,,
30,1830,,,,,,
31,1831,,,,,,
32,1832,-0.5999999999999999,-0.59,,,,
33,1833,-0.1399999999999999,-0.59,,,,
34,1834,-0.07999999999999996,-0.58,,,,
35,1835,-0.8499999999999999,-0.57,,,,
36,1836,,,,,,
37,1837,-0.77,-0.55,,,,
38,1838,-1.0699999999999998,-0.54,,,,
39,1839,-0.99,-0.53,,,,
40,1840,-0.49,-0.53,,,,
41,1841,-0.8699999999999999,-0.52,,,,
42,1842,-0.11999999999999988,-0.51,,,,
43,1843,0.22000000000000008,-0.47,,,,
44,1844,-0.7,-0.42,,,,
45,1845,-0.51,-0.37,,,,
46,1846,0.2400000000000001,-0.32,,,,
47,1847,-0.2899999999999999,-0.28,,,,
48,1848,-0.6299999999999999,-0.25,,,,
49,1849,-0.18999999999999995,-0.23,,,,
50,1850,-0.2599999999999999,-0.21,,,,
51,1851,-0.029999999999999916,-0.19,,,,
52,1852,-0.07999999999999996,-0.17,,,,
53,1853,-0.51,-0.16,,,,
54,1854,0.06000000000000005,-0.16,,,,
55,1855,0.2700000000000001,-0.17,,,,
56,1856,-0.009999999999999898,-0.17,,,,
57,1857,-0.7,-0.19,,,,
58,1858,0.040000000000000036,-0.2,,,,
59,1859,0.42000000000000004,-0.21,,,,
60,1860,-0.6499999999999999,-0.22,,,,
61,1861,-0.44999999999999996,-0.22,,,,
62,1862,-0.8299999999999998,-0.21,,,,
63,1863,0.1700000000000001,-0.21,,,,
64,1864,-0.5799999999999998,-0.2,,,,
65,1865,-0.2599999999999999,-0.17,,,,
66,1866,-0.22999999999999987,-0.14,,,,
67,1867,0.6300000000000001,-0.1,,,,
68,1868,-0.1499999999999999,-0.04,,,,
69,1869,-0.10999999999999988,0.01,,,,
70,1870,0.14000000000000007,0.06,,,,
71,1871,-0.1399999999999999,0.1,,,,
72,1872,0.1100000000000001,0.14,,,,
73,1873,0.39000000000000007,0.19,,,,
74,1874,0.43000000000000005,0.22,,,,
75,1875,0.52,0.26,,,,
76,1876,1.1102230246251565e-16,0.28,,,,
77,1877,-0.06999999999999995,0.28,,,,
78,1878,0.32000000000000006,0.28,,,,
79,1879,1.07,0.25,,,,
80,1880,0.4900000000000001,0.23,,,,
81,1881,0.7500000000000001,0.21,,,,
82,1882,-0.11999999999999988,0.18,,,,
83,1883,0.1700000000000001,0.16,,,,
84,1884,-0.05999999999999994,0.14,,,,
85,1885,-0.18999999999999995,0.11,,,,
86,1886,-0.75,0.09,,,,
87,1887,0.14000000000000007,0.06,,,,
88,1888,1.0,0.05,,,,
89,1889,0.07000000000000006,0.06,,,,
90,1890,-0.06999999999999995,0.07,,,,
91,1891,-0.49,0.09,,,,
92,1892,0.39000000000000007,0.11,,,,
93,1893,0.21000000000000008,0.12,,,,
94,1894,-0.05999999999999994,0.13,,,,
95,1895,0.5000000000000001,0.13,,,,
96,1896,0.56,0.12,,,,
97,1897,-0.05999999999999994,0.12,,,,
98,1898,-0.5799999999999998,0.11,,,,
99,1899,0.9000000000000001,0.1,,,,
100,1900,-0.2899999999999999,0.08,,,,
101,1901,0.19000000000000006,0.07,,,,
102,1902,0.6400000000000001,0.05,,,,
103,1903,-0.77,0.04,,,,
104,1904,0.1100000000000001,0.04,,,,
105,1905,-0.3999999999999999,0.04,,,,
106,1906,0.42000000000000004,0.05,,,,
107,1907,-0.32999999999999996,0.08,,,,
108,1908,0.09000000000000008,0.11,,,,
109,1909,0.42000000000000004,0.15,,,,
110,1910,-0.009999999999999898,0.2,,,,
111,1911,-0.18999999999999995,0.24,,,,
112,1912,0.3400000000000001,0.27,,,,
113,1913,0.2700000000000001,0.29,,,,
114,1914,1.04,0.3,,,,
115,1915,1.5,0.3,,,,
116,1916,0.1700000000000001,0.3,,,,
117,1917,0.9100000000000001,0.3,,,,
118,1918,0.1600000000000001,0.3,,,,
119,1919,0.1100000000000001,0.3,,,,
120,1920,-0.98,0.28,,,,
121,1921,-0.09999999999999987,0.24,,,,
122,1922,0.9100000000000001,0.19,,,,
123,1923,-0.08999999999999997,0.14,,,,
124,1924,0.040000000000000036,0.1,,,,
